,index,feature names,importances
0,0,Shot Clock,0.1840768045861689
1,1,Shot Number,0.08550477145771265
2,2,Shot Distance,0.27264122232925236
3,3,Touch Time,0.17977436565407223
4,4,Period,0.03228372428920121
5,5,Points Type,0.0038192234245701616
6,6,Dribbles,0.08849996158427918
7,7,Closest Defender,0.1533999266747434
