"","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES","CLOSE_DEF_DIST"
"119",10.2,12,7.3,"made",1,3,2,0,2
"120",3.6,13,0.7,"missed",1.9,3,2,0,2.4
"121",12.6,1,2.4,"made",0.2,1,2,0,1.8
"122",15,2,6.3,"missed",0.8,2,2,0,2.9
"123",16,3,1.3,"made",1,2,2,0,2.9
"124",17,4,2.2,"made",1,2,2,0,2.8
"125",15.1,5,2.4,"made",0.8,2,2,0,5.5
"126",16.4,6,7.6,"made",3.3,2,2,2,2.9
"127",24,7,1.4,"missed",0,2,2,0,1.8
"128",11.5,8,2.1,"made",5.8,2,2,2,2.2
"129",4.9,1,1.5,"made",0.2,1,2,0,3.3
"130",12,2,0.5,"made",1.5,1,2,0,1.5
"131",10.4,3,1.4,"made",1.6,1,2,0,1.8
"132",24,4,2.9,"made",0.9,3,2,1,4.1
"133",4.3,5,1.8,"made",4.2,3,2,3,2.7
"134",13.8,1,3.5,"made",1.6,1,2,1,2.2
"135",10.5,2,1.7,"made",0,1,2,0,2.5
"136",10.2,3,4.8,"missed",0.8,1,2,0,1.3
"137",11.4,4,1.4,"made",2.1,1,2,0,1.1
"138",24,5,1.3,"made",0.8,1,2,0,2.2
"139",8.1,6,7.5,"missed",4,1,2,2,1.2
"140",12,7,7.6,"missed",3.2,1,2,1,1.8
"141",16.7,8,2.4,"made",0.4,1,2,0,1.4
"142",8.7,9,9.8,"made",4.6,3,2,4,3.2
"143",9,10,4.2,"missed",4.4,3,2,1,0.8
"144",6.2,11,5.5,"missed",5.4,3,2,2,1.8
"145",6,1,3.3,"made",4,1,2,1,2.4
"146",24,2,2.3,"made",0,1,2,0,1.6
"147",13.5,3,5.4,"missed",4.5,1,2,5,0.6
"148",2.1,4,8.2,"made",0.8,2,2,0,2.5
"149",24,5,1.6,"made",0.5,2,2,0,2
"150",15.1,6,4.6,"made",4.7,2,2,3,3.2
"151",8.8,7,9.1,"missed",3.4,3,2,2,1.5
"152",16.1,8,3.2,"made",0.6,3,2,0,2.6
"153",5.7,9,5.1,"made",5.2,4,2,2,2.2
"154",6.4,10,5.9,"made",6.1,4,2,2,1.7
"155",12.2,11,1.1,"made",4.1,4,2,1,1.7
"156",24,12,1.2,"made",0.1,4,2,0,3.3
"157",13.7,13,3.8,"made",3.4,4,2,3,2.1
"158",11.3,1,9.3,"missed",5.4,1,2,1,0.5
"159",18.1,2,5.3,"missed",0,2,2,0,2.2
"160",0,3,4.1,"made",1.6,2,2,1,5.2
"161",8,4,1.2,"missed",5.1,3,2,1,1.8
