"","GAME_CLOCK","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES"
"247",07:12:00,17.4,3,5.2,"made",1,1,2,0
"248",11:28:00,11.5,4,21.6,"made",2.3,2,2,2
"249",11:00:00,19,5,5.8,"missed",4,2,2,3
"250",10:43:00,2.3,6,21.2,"missed",11.2,2,2,7
"251",09:31:00,14.7,7,4.9,"made",7.8,2,2,8
"252",07:23:00,19.8,8,6.6,"made",5.8,2,2,5
"253",06:37:00,17.9,9,24.2,"missed",0.9,2,2,0
"254",00:01:00,NA,10,11.9,"missed",5.1,2,2,6
"255",10:46:00,9.1,11,20,"missed",2.7,3,2,0
"256",07:15:00,7.7,12,18.1,"missed",5.7,3,2,1
"257",10:29:00,18.4,13,24,"missed",5.3,4,2,6
"258",08:17:00,8.9,14,20.6,"missed",6.9,4,2,5
"259",06:41:00,10.3,15,24.8,"missed",14,4,3,16
"260",05:30:00,22,16,5.6,"made",2.9,4,2,3
"261",01:28:00,7.3,17,27.2,"missed",4.3,4,3,0
"262",10:49:00,15.9,1,6.5,"made",6.8,1,2,8
"263",08:29:00,16,2,7.4,"missed",6.4,1,2,7
"264",05:59:00,9.8,3,2.5,"missed",12.6,1,2,14
"265",05:42:00,18.4,4,3.3,"made",4.4,1,2,5
"266",01:53:00,18.2,5,2.5,"made",5.2,1,2,6
"267",00:40:00,2.4,6,32,"missed",1.5,1,3,0
"268",00:02:00,NA,7,5.4,"made",19.7,1,2,15
"269",11:00:00,14.8,8,16,"made",6.7,2,2,5
"270",10:20:00,4.5,9,18.7,"missed",2.3,2,2,0
"271",09:19:00,8.4,10,15.1,"missed",8.5,2,2,2
"272",05:37:00,12.3,11,3.8,"made",6.6,2,2,1
"273",01:31:00,5.4,12,27.2,"made",1.1,2,3,0
"274",01:00:00,15.6,13,26.4,"missed",7.2,2,3,5
"275",11:10:00,8,14,4.6,"made",3.7,3,2,2
"276",05:40:00,0.8,15,24.3,"missed",22.1,3,3,20
"277",00:40:00,14.9,16,21.5,"made",9.1,3,2,8
"278",00:01:00,NA,17,12.8,"missed",3.8,3,2,2
"279",11:36:00,17.1,18,25.1,"missed",5.1,4,3,4
"280",10:53:00,13.3,19,21.7,"made",2.2,4,2,2
"281",09:05:00,6.2,20,4.3,"made",12.4,4,2,9
"282",08:11:00,11.5,21,22.6,"made",5,4,3,3
"283",05:10:00,2.1,22,27.9,"made",3.3,4,3,2
"284",04:32:00,7.8,23,22.1,"made",3.9,4,2,2
"285",04:05:00,13.8,24,25.6,"missed",0.9,4,3,1
"286",03:39:00,12.3,25,16.6,"missed",9.3,4,2,2
"287",11:44:00,21.9,1,6.5,"made",2.4,1,2,0
"288",00:40:00,13.7,2,11.5,"missed",9.1,1,2,11
"289",00:28:00,14.5,3,23.8,"missed",5.7,1,3,0
"290",09:34:00,15.9,4,3.4,"missed",7.5,2,2,7
"291",02:14:00,9.9,5,1.7,"made",0.6,2,2,0
"292",11:49:00,12.7,6,15.9,"missed",1.7,3,2,1
"293",09:06:00,8.2,7,22.3,"missed",4.6,3,2,0
"294",06:17:00,20,8,25.5,"missed",2.6,3,3,2
"295",02:06:00,17.2,9,5.9,"made",3.2,3,2,4
"296",01:39:00,18.8,10,9.5,"missed",5.6,3,2,5
"297",00:54:00,12.1,11,18.4,"missed",12.1,3,2,13
"298",00:32:00,13.4,12,18.1,"made",5,3,2,1
"299",00:07:00,NA,13,24.5,"made",3.7,3,3,5
"300",10:51:00,14.8,14,4.3,"made",8.8,4,2,9
"301",09:12:00,21,15,1.4,"made",4,4,2,2
"302",07:54:00,20.1,16,30.2,"missed",1.1,4,3,0
"303",10:23:00,10.7,1,4.1,"missed",1.8,1,2,2
"304",08:28:00,24,2,3.4,"made",1,1,2,0
"305",07:43:00,6.2,3,6.8,"missed",7.9,1,2,6
"306",06:17:00,10.8,4,7.7,"missed",6,1,2,5
"307",02:51:00,12.9,5,5.2,"missed",3.1,1,2,1
"308",01:31:00,11.8,6,6.7,"made",12.4,1,2,12
"309",01:08:00,17.4,7,4.2,"made",5.4,1,2,5
"310",09:51:00,5.1,8,4.8,"made",13.7,2,2,5
"311",09:14:00,19.9,9,5.5,"made",2.2,2,2,2
"312",08:51:00,12.9,10,23,"missed",0.8,2,3,0
"313",08:33:00,19,11,5.6,"made",5.8,2,2,7
"314",03:45:00,6.2,12,6.6,"missed",3.1,2,2,2
"315",02:17:00,20.5,13,3.4,"missed",1,2,2,0
"316",00:08:00,2,14,19,"made",4.2,2,2,0
"317",09:31:00,13.3,15,6.1,"made",11,3,2,10
"318",09:10:00,17.2,16,29,"missed",1.4,3,3,0
"319",02:17:00,16.7,17,12.7,"made",6.4,3,2,6
"320",01:47:00,14.7,18,16.3,"missed",8.9,3,2,9
"321",00:14:00,5.1,19,29.5,"missed",17.5,3,3,17
"322",10:56:00,9.1,20,27.8,"missed",0.9,4,3,0
"323",09:30:00,7,21,14.7,"missed",5.6,4,2,4
"324",09:13:00,22.2,22,5.5,"made",1,4,2,0
"325",07:55:00,18.9,23,3.9,"made",5.7,4,2,3
"326",03:30:00,6.3,24,4.8,"missed",15.9,4,2,17
"327",11:37:00,18.5,1,8.4,"missed",4.6,1,2,5
"328",11:04:00,0.5,2,16.3,"made",8,1,2,10
"329",09:08:00,19.7,3,5.5,"missed",4.7,1,2,6
"330",08:33:00,20.9,4,2.7,"missed",1.6,1,2,1
"331",08:22:00,19.7,5,2.4,"missed",3.2,1,2,2
"332",04:47:00,3,6,20.5,"made",6.4,1,2,0
"333",03:51:00,21,7,5.8,"made",1.2,1,2,1
"334",10:20:00,19.4,8,21.4,"missed",4.2,2,2,7
"335",09:33:00,19,9,3,"made",4,2,2,4
"336",08:54:00,10.9,10,4.9,"made",12.3,2,2,16
"337",08:11:00,6.2,11,23.7,"missed",2.3,2,2,0
"338",07:31:00,4.5,12,9,"missed",3.6,2,2,2
"339",06:48:00,7.7,13,26.6,"missed",0.8,2,3,0
"340",02:48:00,4,14,4,"made",6,2,2,2
"341",01:47:00,9.7,15,17,"missed",0.8,2,2,0
