"","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES","CLOSE_DEF_DIST"
"925",14,5,2.1,"missed",4.2,1,2,1,1.5
"926",10.2,6,24.1,"missed",2.1,2,3,0,4.5
"927",7,7,12.2,"made",9.2,2,2,2,1.3
"928",10.3,8,25.1,"missed",1.2,2,3,0,4.1
"929",18.9,9,8.1,"missed",4.6,3,2,0,4.2
"930",16.4,10,8.7,"missed",6.6,3,2,7,2.1
"931",8.9,11,9.3,"missed",3.8,4,2,3,5.5
"932",9.9,12,11,"missed",3.5,4,2,2,3.1
"933",16.9,1,17.7,"made",6,1,2,3,3.3
"934",7.5,2,21.7,"made",2.7,1,2,0,5
"935",12.7,3,11,"made",2.6,1,2,3,2.6
"936",13.9,4,9.9,"missed",2.3,1,2,3,3.1
"937",16.8,5,19.9,"missed",0.8,1,2,0,5.3
"938",6.3,6,9.1,"made",7,1,2,3,3.9
"939",3.3,7,13.2,"missed",2.5,1,2,2,4.3
"940",17.5,8,20.8,"missed",6.9,1,2,5,11.5
"941",22.1,9,23.5,"made",1.1,1,3,0,3.7
"942",2.9,10,5.9,"missed",15.1,1,2,17,3.3
"943",15.7,11,2.8,"missed",8,2,2,4,1.9
"944",2.8,12,1.3,"made",7.2,2,2,4,3.5
"945",13,13,5.1,"missed",9.6,2,2,8,2.1
"946",21.5,14,1.2,"made",2.8,2,2,2,3.9
"947",21.5,15,5.6,"made",1.2,2,2,1,0.8
"948",19.8,16,11.2,"made",4.6,2,2,2,3.2
"949",0,17,7.1,"missed",22.9,2,2,23,2
"950",21,18,3.9,"made",1,3,2,0,4.9
"951",3.9,19,22.3,"made",5.8,3,2,1,4.7
"952",14.2,20,5.5,"missed",9.2,4,2,11,1.2
"953",8.8,21,23.3,"missed",5.6,4,3,3,1.5
"954",16.9,22,5.4,"missed",7.4,4,2,7,1.8
"955",17.8,23,2.8,"made",0.4,4,2,0,1.9
"956",11.4,24,24.2,"missed",1.4,4,3,0,4.3
"957",10.1,25,3.4,"made",10.9,5,2,10,3.8
"958",24,26,14.3,"made",0,5,2,0,11.6
"959",4.4,27,15.3,"missed",18.2,5,2,21,2.2
"960",8.2,28,3.2,"missed",13.9,5,2,4,2.8
"961",4.5,29,17.6,"missed",19.5,5,2,20,3.1
"962",5.1,30,17.6,"missed",6.1,5,2,2,9.4
"963",17.1,1,21.8,"missed",6.9,1,2,7,4.7
"964",20.4,2,0.3,"made",1.6,1,2,1,2.2
"965",6.4,3,8.7,"missed",7.9,1,2,6,3
"966",11.3,4,21.1,"missed",1,1,3,0,2.1
"967",21.8,5,24.7,"missed",1,1,3,0,12.8
"968",6.6,6,9.8,"missed",9.7,2,2,8,2.2
"969",6.9,7,27.1,"missed",2.3,2,3,0,4.3
"970",15.5,8,5.2,"missed",5,2,2,3,1.1
"971",6,9,11.7,"missed",6,2,2,3,3
"972",2.1,10,25.5,"made",1,3,3,0,4.5
"973",23,11,3.8,"made",1.1,3,2,0,8.1
"974",18.6,12,10.5,"missed",5.9,3,2,4,6.2
"975",8,13,27.5,"missed",1.7,4,3,0,4.5
"976",22,14,0.9,"made",0.7,4,2,0,3.6
"977",21.5,15,4.2,"made",2.5,4,2,1,1.1
